area_conhecimento;sub_area;cod_preferencia
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA CIVIL E AMBIENTAL  ARQUITETURA E CURSOS RELACIONADOS;119265
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA CIVIL E AMBIENTAL  ARQUITETURA E CURSOS RELACIONADOS;120946
CURSOS NAO PRIORITARIOS;DIREITO  COMÉRCIO EXTERIOR  BIBLIOTECONOMIA E CURSOS RELACIONADOS;118294
CURSOS NAO PRIORITARIOS;ADMINISTRAÇÃO  ADMINISTRAÇÃO PÚBLICA  GESTÃO  LOGÍSTICA  NEGÓCIOS E CURSOS RELACIONADOS;122243
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA DE PRODUÇÃO  DE MATERIAIS E CURSOS RELACIONADOS;120931
CURSOS NAO PRIORITARIOS;DIREITO  COMÉRCIO EXTERIOR  BIBLIOTECONOMIA E CURSOS RELACIONADOS;121531
CURSOS NAO PRIORITARIOS;COMUNICAÇÃO  DESIGN  AUDIO VISUAL E CURSOS RELACIONADOS;120284
CURSOS NAO PRIORITARIOS;CIÊNCIAS SOCIAIS  POLÍTICAS  ECONÔMICAS E CONTÁBEIS  PSICOLOGIA E SECRETARIADO;120994
CURSOS NAO PRIORITARIOS;ADMINISTRAÇÃO  ADMINISTRAÇÃO PÚBLICA  GESTÃO  LOGÍSTICA  NEGÓCIOS E CURSOS RELACIONADOS;122147
CURSOS DA ÁREA DE LICENCIATURA PEDAGOGIA E NORMAL SUPERIOR;PEDAGOGIA;118499
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA CIVIL E AMBIENTAL  ARQUITETURA E CURSOS RELACIONADOS;120947
CURSOS NAO PRIORITARIOS;ADMINISTRAÇÃO  ADMINISTRAÇÃO PÚBLICA  GESTÃO  LOGÍSTICA  NEGÓCIOS E CURSOS RELACIONADOS;120538
CURSOS NAO PRIORITARIOS;ADMINISTRAÇÃO  ADMINISTRAÇÃO PÚBLICA  GESTÃO  LOGÍSTICA  NEGÓCIOS E CURSOS RELACIONADOS;120649
CURSOS NAO PRIORITARIOS;ESTÉTICA E COSMÉTICA  GESTÃO DO ESPORTE E CURSOS RELACIONADOS;117929
CURSOS NAO PRIORITARIOS;CIÊNCIAS SOCIAIS  POLÍTICAS  ECONÔMICAS E CONTÁBEIS  PSICOLOGIA E SECRETARIADO;118001
CURSOS NAO PRIORITARIOS;MEDICINA VETERINÁRIA;120836
CURSOS DA AREA DE SAUDE;SERVIÇO SOCIAL  FONOAUDIOLOGIA  TERAPIA OCUPACIONAL E CURSOS RELACIONADOS;118262
CURSOS NAO PRIORITARIOS;CIÊNCIAS BIOLÓGICAS (BEL)  BIOMEDICINA  BIOTECNOLOGIA E CURSOS RELACIONADOS;121044
CURSOS DA AREA DE SAUDE;ENFERMAGEM  FISIOTERAPIA  FARMÁCIA  NUTRIÇÃO E CURSOS RELACIONADOS;118619
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA ELÉTRICA  ELETRÔNICA  DA COMPUTAÇÃO E CURSOS RELACIONADOS;120795
CURSOS NAO PRIORITARIOS;MEDICINA VETERINÁRIA;120507
CURSOS DA AREA DE SAUDE;SERVIÇO SOCIAL  FONOAUDIOLOGIA  TERAPIA OCUPACIONAL E CURSOS RELACIONADOS;121965
CURSOS NAO PRIORITARIOS;CIÊNCIAS SOCIAIS  POLÍTICAS  ECONÔMICAS E CONTÁBEIS  PSICOLOGIA E SECRETARIADO;118368
CURSOS DA AREA DE SAUDE;SERVIÇO SOCIAL  FONOAUDIOLOGIA  TERAPIA OCUPACIONAL E CURSOS RELACIONADOS;118530
CURSOS NAO PRIORITARIOS;ADMINISTRAÇÃO  ADMINISTRAÇÃO PÚBLICA  GESTÃO  LOGÍSTICA  NEGÓCIOS E CURSOS RELACIONADOS;120098
CURSOS NAO PRIORITARIOS;CIÊNCIAS BIOLÓGICAS (BEL)  BIOMEDICINA  BIOTECNOLOGIA E CURSOS RELACIONADOS;121001
CURSOS NAO PRIORITARIOS;AGRONOMIA  ZOOTECNIA  ENGENHARIA FLORESTAL E CURSOS RELACIONADOS;120434
CURSOS NAO PRIORITARIOS;ADMINISTRAÇÃO  ADMINISTRAÇÃO PÚBLICA  GESTÃO  LOGÍSTICA  NEGÓCIOS E CURSOS RELACIONADOS;122149
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;CIÊNCIA DA COMPUTAÇÃO E SISTEMAS DE INFORMAÇÃO E CURSOS RELACIONADOS;119446
CURSOS NAO PRIORITARIOS;DIREITO  COMÉRCIO EXTERIOR  BIBLIOTECONOMIA E CURSOS RELACIONADOS;121347
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;CIÊNCIA DA COMPUTAÇÃO E SISTEMAS DE INFORMAÇÃO E CURSOS RELACIONADOS;121254
CURSOS NAO PRIORITARIOS;ADMINISTRAÇÃO  ADMINISTRAÇÃO PÚBLICA  GESTÃO  LOGÍSTICA  NEGÓCIOS E CURSOS RELACIONADOS;120366
CURSOS NAO PRIORITARIOS;CIÊNCIAS BIOLÓGICAS (BEL)  BIOMEDICINA  BIOTECNOLOGIA E CURSOS RELACIONADOS;121002
CURSOS NAO PRIORITARIOS;CIÊNCIAS SOCIAIS  POLÍTICAS  ECONÔMICAS E CONTÁBEIS  PSICOLOGIA E SECRETARIADO;120304
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;CIÊNCIA DA COMPUTAÇÃO E SISTEMAS DE INFORMAÇÃO E CURSOS RELACIONADOS;121715
CURSOS NAO PRIORITARIOS;CIÊNCIAS SOCIAIS  POLÍTICAS  ECONÔMICAS E CONTÁBEIS  PSICOLOGIA E SECRETARIADO;121351
CURSOS NAO PRIORITARIOS;ADMINISTRAÇÃO  ADMINISTRAÇÃO PÚBLICA  GESTÃO  LOGÍSTICA  NEGÓCIOS E CURSOS RELACIONADOS;119287
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA MECÂNICA  AERONÁUTICA  NAVAL E CURSOS RELACIONADOS;119704
CURSOS NAO PRIORITARIOS;CIÊNCIAS SOCIAIS  POLÍTICAS  ECONÔMICAS E CONTÁBEIS  PSICOLOGIA E SECRETARIADO;120644
CURSOS NAO PRIORITARIOS;DIREITO  COMÉRCIO EXTERIOR  BIBLIOTECONOMIA E CURSOS RELACIONADOS;119133
CURSOS NAO PRIORITARIOS;COMUNICAÇÃO SOCIAL  JORNALISMO  PUBLICIDADE  MARKETING E CURSOS RELACIONADOS;119402
CURSOS NAO PRIORITARIOS;DIREITO  COMÉRCIO EXTERIOR  BIBLIOTECONOMIA E CURSOS RELACIONADOS;122098
CURSOS DA AREA DE SAUDE;ENFERMAGEM  FISIOTERAPIA  FARMÁCIA  NUTRIÇÃO E CURSOS RELACIONADOS;118069
CURSOS DA AREA DE SAUDE;SERVIÇO SOCIAL  FONOAUDIOLOGIA  TERAPIA OCUPACIONAL E CURSOS RELACIONADOS;122199
CURSOS NAO PRIORITARIOS;DIREITO  COMÉRCIO EXTERIOR  BIBLIOTECONOMIA E CURSOS RELACIONADOS;118111
CURSOS NAO PRIORITARIOS;DIREITO  COMÉRCIO EXTERIOR  BIBLIOTECONOMIA E CURSOS RELACIONADOS;120824
CURSOS NAO PRIORITARIOS;ADMINISTRAÇÃO  ADMINISTRAÇÃO PÚBLICA  GESTÃO  LOGÍSTICA  NEGÓCIOS E CURSOS RELACIONADOS;118300
CURSOS NAO PRIORITARIOS;ESTÉTICA E COSMÉTICA  GESTÃO DO ESPORTE E CURSOS RELACIONADOS;121018
CURSOS NAO PRIORITARIOS;COMUNICAÇÃO SOCIAL  JORNALISMO  PUBLICIDADE  MARKETING E CURSOS RELACIONADOS;121558
CURSOS NAO PRIORITARIOS;COMUNICAÇÃO  DESIGN  AUDIO VISUAL E CURSOS RELACIONADOS;122087
CURSOS DA AREA DE SAUDE;SERVIÇO SOCIAL  FONOAUDIOLOGIA  TERAPIA OCUPACIONAL E CURSOS RELACIONADOS;119307
CURSOS NAO PRIORITARIOS;HOTELARIA E TURISMO  GASTRONOMIA E CURSOS RELACIONADOS;121614
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;CIÊNCIA DA COMPUTAÇÃO E SISTEMAS DE INFORMAÇÃO E CURSOS RELACIONADOS;118535
CURSOS DA ÁREA DE LICENCIATURA PEDAGOGIA E NORMAL SUPERIOR;PEDAGOGIA;120724
CURSOS DA ÁREA DE LICENCIATURA PEDAGOGIA E NORMAL SUPERIOR;PEDAGOGIA;118723
CURSOS DA AREA DE SAUDE;ENFERMAGEM  FISIOTERAPIA  FARMÁCIA  NUTRIÇÃO E CURSOS RELACIONADOS;120051
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA CIVIL E AMBIENTAL  ARQUITETURA E CURSOS RELACIONADOS;118552
CURSOS NAO PRIORITARIOS;DIREITO  COMÉRCIO EXTERIOR  BIBLIOTECONOMIA E CURSOS RELACIONADOS;118730
CURSOS DA ÁREA DE LICENCIATURA PEDAGOGIA E NORMAL SUPERIOR;BIOLOGIA (LIC)  MATEMÁTICA (LIC)  LETRAS-PORTUGUÊS E CURSOS RELACIONADOS;120276
CURSOS NAO PRIORITARIOS;ADMINISTRAÇÃO  ADMINISTRAÇÃO PÚBLICA  GESTÃO  LOGÍSTICA  NEGÓCIOS E CURSOS RELACIONADOS;122106
CURSOS NAO PRIORITARIOS;CIÊNCIAS SOCIAIS  POLÍTICAS  ECONÔMICAS E CONTÁBEIS  PSICOLOGIA E SECRETARIADO;118684
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA CIVIL E AMBIENTAL  ARQUITETURA E CURSOS RELACIONADOS;119375
CURSOS DA AREA DE SAUDE;ENFERMAGEM  FISIOTERAPIA  FARMÁCIA  NUTRIÇÃO E CURSOS RELACIONADOS;119304
CURSOS DA AREA DE SAUDE;SERVIÇO SOCIAL  FONOAUDIOLOGIA  TERAPIA OCUPACIONAL E CURSOS RELACIONADOS;118704
CURSOS NAO PRIORITARIOS;ADMINISTRAÇÃO  ADMINISTRAÇÃO PÚBLICA  GESTÃO  LOGÍSTICA  NEGÓCIOS E CURSOS RELACIONADOS;121861
CURSOS NAO PRIORITARIOS;CIÊNCIAS BIOLÓGICAS (BEL)  BIOMEDICINA  BIOTECNOLOGIA E CURSOS RELACIONADOS;118583
CURSOS NAO PRIORITARIOS;HOTELARIA E TURISMO  GASTRONOMIA E CURSOS RELACIONADOS;122255
CURSOS NAO PRIORITARIOS;ADMINISTRAÇÃO  ADMINISTRAÇÃO PÚBLICA  GESTÃO  LOGÍSTICA  NEGÓCIOS E CURSOS RELACIONADOS;119024
CURSOS NAO PRIORITARIOS;CIÊNCIAS BIOLÓGICAS (BEL)  BIOMEDICINA  BIOTECNOLOGIA E CURSOS RELACIONADOS;120310
CURSOS DA AREA DE SAUDE;ENFERMAGEM  FISIOTERAPIA  FARMÁCIA  NUTRIÇÃO E CURSOS RELACIONADOS;121074
CURSOS NAO PRIORITARIOS;ADMINISTRAÇÃO  ADMINISTRAÇÃO PÚBLICA  GESTÃO  LOGÍSTICA  NEGÓCIOS E CURSOS RELACIONADOS;118003
CURSOS NAO PRIORITARIOS;MÚSICA  FOTOGRAFIA  PRODUÇÃO MULTIMÍDIA E CURSOS RELACIONADOS;120634
CURSOS DA ÁREA DE LICENCIATURA PEDAGOGIA E NORMAL SUPERIOR;HISTÓRIA (LIC)  GEOGRAFIA (LIC)  EDUCAÇÃO FÍSICA (LIC) E CURSOS RELACIONADOS;118450
CURSOS NAO PRIORITARIOS;ADMINISTRAÇÃO  ADMINISTRAÇÃO PÚBLICA  GESTÃO  LOGÍSTICA  NEGÓCIOS E CURSOS RELACIONADOS;120828
CURSOS NAO PRIORITARIOS;ADMINISTRAÇÃO  ADMINISTRAÇÃO PÚBLICA  GESTÃO  LOGÍSTICA  NEGÓCIOS E CURSOS RELACIONADOS;122240
CURSOS NAO PRIORITARIOS;ESTÉTICA E COSMÉTICA  GESTÃO DO ESPORTE E CURSOS RELACIONADOS;118592
CURSOS NAO PRIORITARIOS;CIÊNCIAS SOCIAIS  POLÍTICAS  ECONÔMICAS E CONTÁBEIS  PSICOLOGIA E SECRETARIADO;118577
CURSOS NAO PRIORITARIOS;COMUNICAÇÃO  DESIGN  AUDIO VISUAL E CURSOS RELACIONADOS;120967
CURSOS NAO PRIORITARIOS;ESTÉTICA E COSMÉTICA  GESTÃO DO ESPORTE E CURSOS RELACIONADOS;121020
CURSOS DA ÁREA DE LICENCIATURA PEDAGOGIA E NORMAL SUPERIOR;PEDAGOGIA;120963
CURSOS DA AREA DE SAUDE;ENFERMAGEM  FISIOTERAPIA  FARMÁCIA  NUTRIÇÃO E CURSOS RELACIONADOS;117952
CURSOS NAO PRIORITARIOS;CIÊNCIAS BIOLÓGICAS (BEL)  BIOMEDICINA  BIOTECNOLOGIA E CURSOS RELACIONADOS;121919
CURSOS DA AREA DE SAUDE;ENFERMAGEM  FISIOTERAPIA  FARMÁCIA  NUTRIÇÃO E CURSOS RELACIONADOS;120848
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA ELÉTRICA  ELETRÔNICA  DA COMPUTAÇÃO E CURSOS RELACIONADOS;120560
CURSOS NAO PRIORITARIOS;DIREITO  COMÉRCIO EXTERIOR  BIBLIOTECONOMIA E CURSOS RELACIONADOS;120990
CURSOS NAO PRIORITARIOS;CIÊNCIAS SOCIAIS  POLÍTICAS  ECONÔMICAS E CONTÁBEIS  PSICOLOGIA E SECRETARIADO;121350
CURSOS NAO PRIORITARIOS;ADMINISTRAÇÃO  ADMINISTRAÇÃO PÚBLICA  GESTÃO  LOGÍSTICA  NEGÓCIOS E CURSOS RELACIONADOS;119752
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA MECÂNICA  AERONÁUTICA  NAVAL E CURSOS RELACIONADOS;120935
CURSOS NAO PRIORITARIOS;CIÊNCIAS SOCIAIS  POLÍTICAS  ECONÔMICAS E CONTÁBEIS  PSICOLOGIA E SECRETARIADO;119748
CURSOS NAO PRIORITARIOS;ADMINISTRAÇÃO  ADMINISTRAÇÃO PÚBLICA  GESTÃO  LOGÍSTICA  NEGÓCIOS E CURSOS RELACIONADOS;120309
CURSOS DA AREA DE SAUDE;ENFERMAGEM  FISIOTERAPIA  FARMÁCIA  NUTRIÇÃO E CURSOS RELACIONADOS;119352
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA CIVIL E AMBIENTAL  ARQUITETURA E CURSOS RELACIONADOS;121319
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA ELÉTRICA  ELETRÔNICA  DA COMPUTAÇÃO E CURSOS RELACIONADOS;120861
CURSOS DA ÁREA DE LICENCIATURA PEDAGOGIA E NORMAL SUPERIOR;PEDAGOGIA;121037
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA ELÉTRICA  ELETRÔNICA  DA COMPUTAÇÃO E CURSOS RELACIONADOS;118446
CURSOS DA AREA DE SAUDE;SERVIÇO SOCIAL  FONOAUDIOLOGIA  TERAPIA OCUPACIONAL E CURSOS RELACIONADOS;120923
CURSOS DA AREA DE SAUDE;SERVIÇO SOCIAL  FONOAUDIOLOGIA  TERAPIA OCUPACIONAL E CURSOS RELACIONADOS;118361
CURSOS NAO PRIORITARIOS;CIÊNCIAS SOCIAIS  POLÍTICAS  ECONÔMICAS E CONTÁBEIS  PSICOLOGIA E SECRETARIADO;119985
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA DE PRODUÇÃO  DE MATERIAIS E CURSOS RELACIONADOS;118984
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA DE PRODUÇÃO  DE MATERIAIS E CURSOS RELACIONADOS;119700
CURSOS DA ÁREA DE LICENCIATURA PEDAGOGIA E NORMAL SUPERIOR;HISTÓRIA (LIC)  GEOGRAFIA (LIC)  EDUCAÇÃO FÍSICA (LIC) E CURSOS RELACIONADOS;118095
CURSOS DA AREA DE SAUDE;ENFERMAGEM  FISIOTERAPIA  FARMÁCIA  NUTRIÇÃO E CURSOS RELACIONADOS;118259
CURSOS NAO PRIORITARIOS;DIREITO  COMÉRCIO EXTERIOR  BIBLIOTECONOMIA E CURSOS RELACIONADOS;119018
CURSOS DA AREA DE SAUDE;ODONTOLOGIA  QUIROPRAXIA  FÍSICA MÉDICA E NATUROLOGIA;119527
CURSOS DA ÁREA DE LICENCIATURA PEDAGOGIA E NORMAL SUPERIOR;PEDAGOGIA;118829
CURSOS NAO PRIORITARIOS;DIREITO  COMÉRCIO EXTERIOR  BIBLIOTECONOMIA E CURSOS RELACIONADOS;120880
CURSOS NAO PRIORITARIOS;COMUNICAÇÃO SOCIAL  JORNALISMO  PUBLICIDADE  MARKETING E CURSOS RELACIONADOS;120358
CURSOS NAO PRIORITARIOS;DIREITO  COMÉRCIO EXTERIOR  BIBLIOTECONOMIA E CURSOS RELACIONADOS;121398
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA CIVIL E AMBIENTAL  ARQUITETURA E CURSOS RELACIONADOS;118550
CURSOS NAO PRIORITARIOS;CIÊNCIAS BIOLÓGICAS (BEL)  BIOMEDICINA  BIOTECNOLOGIA E CURSOS RELACIONADOS;118058
CURSOS DA AREA DE SAUDE;ODONTOLOGIA  QUIROPRAXIA  FÍSICA MÉDICA E NATUROLOGIA;118181
CURSOS NAO PRIORITARIOS;COMUNICAÇÃO SOCIAL  JORNALISMO  PUBLICIDADE  MARKETING E CURSOS RELACIONADOS;121099
CURSOS NAO PRIORITARIOS;DIREITO  COMÉRCIO EXTERIOR  BIBLIOTECONOMIA E CURSOS RELACIONADOS;119520
CURSOS NAO PRIORITARIOS;COMUNICAÇÃO SOCIAL  JORNALISMO  PUBLICIDADE  MARKETING E CURSOS RELACIONADOS;120297
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA DE PRODUÇÃO  DE MATERIAIS E CURSOS RELACIONADOS;119875
CURSOS NAO PRIORITARIOS;DIREITO  COMÉRCIO EXTERIOR  BIBLIOTECONOMIA E CURSOS RELACIONADOS;120041
CURSOS DA ÁREA DE LICENCIATURA PEDAGOGIA E NORMAL SUPERIOR;HISTÓRIA (LIC)  GEOGRAFIA (LIC)  EDUCAÇÃO FÍSICA (LIC) E CURSOS RELACIONADOS;120625
CURSOS NAO PRIORITARIOS;COMUNICAÇÃO SOCIAL  JORNALISMO  PUBLICIDADE  MARKETING E CURSOS RELACIONADOS;121340
CURSOS DA ÁREA DE LICENCIATURA PEDAGOGIA E NORMAL SUPERIOR;HISTÓRIA (LIC)  GEOGRAFIA (LIC)  EDUCAÇÃO FÍSICA (LIC) E CURSOS RELACIONADOS;119721
CURSOS DA AREA DE SAUDE;ENFERMAGEM  FISIOTERAPIA  FARMÁCIA  NUTRIÇÃO E CURSOS RELACIONADOS;120594
CURSOS DA AREA DE SAUDE;MEDICINA;119945
CURSOS NAO PRIORITARIOS;ADMINISTRAÇÃO  ADMINISTRAÇÃO PÚBLICA  GESTÃO  LOGÍSTICA  NEGÓCIOS E CURSOS RELACIONADOS;119414
CURSOS NAO PRIORITARIOS;ESTÉTICA E COSMÉTICA  GESTÃO DO ESPORTE E CURSOS RELACIONADOS;122122
CURSOS DA AREA DE SAUDE;ENFERMAGEM  FISIOTERAPIA  FARMÁCIA  NUTRIÇÃO E CURSOS RELACIONADOS;121175
CURSOS NAO PRIORITARIOS;DIREITO  COMÉRCIO EXTERIOR  BIBLIOTECONOMIA E CURSOS RELACIONADOS;121750
CURSOS NAO PRIORITARIOS;MEDICINA VETERINÁRIA;118468
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;CIÊNCIA DA COMPUTAÇÃO E SISTEMAS DE INFORMAÇÃO E CURSOS RELACIONADOS;119695
CURSOS DA AREA DE SAUDE;ENFERMAGEM  FISIOTERAPIA  FARMÁCIA  NUTRIÇÃO E CURSOS RELACIONADOS;121073
CURSOS NAO PRIORITARIOS;ESTÉTICA E COSMÉTICA  GESTÃO DO ESPORTE E CURSOS RELACIONADOS;119040
CURSOS NAO PRIORITARIOS;COMUNICAÇÃO SOCIAL  JORNALISMO  PUBLICIDADE  MARKETING E CURSOS RELACIONADOS;120087
CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;CIÊNCIA DA COMPUTAÇÃO E SISTEMAS DE INFORMAÇÃO E CURSOS RELACIONADOS;118537
